Depth (mm),d18o (per mil)
0,-4.650328584698877
1,-4.228826430117119
2,-3.799205742405493
3,-3.5926970143591976
4,-3.9173899336878946
5,-4.298413695694919
6,-4.632078718449261
7,-5.22825652708471
8,-5.732972842377934
9,-5.780743995641403
10,-5.762367173065686
11,-5.411572975357026
12,-4.855803772843396
13,-4.5863280244657805
14,-4.216466379466865
15,-3.981228752924097
16,-4.175257708249004
17,-4.423575266740473
18,-5.060802407552122
19,-5.626230370133529
20,-5.719460526892283
21,-6.037577630048654
22,-5.889272583315647
23,-5.6874748186213475
24,-5.11443827245252
25,-4.563907741029013
26,-4.339073953957792
27,-4.067430198165433
28,-4.3140384652074415
29,-4.664169374979328
30,-5.2101706612229375
31,-5.479772181549105
32,-6.04737512625823
33,-6.30077109289559
34,-5.993770912574119
35,-5.8470843649971025
36,-5.2191136404995255
37,-4.950967012387978
38,-4.536793201105406
39,-4.265313876413088
40,-4.360127938216021
41,-4.797863171881
42,-5.341564828238823
43,-5.875110369558929
44,-6.373877602821181
45,-6.44698442083947
46,-6.30208928088042
47,-5.799287777378109
48,-5.385638171043155
49,-5.111304015536276
50,-4.551566199276081
51,-4.503508228041632
52,-4.681666796246158
53,-4.933832371115912
54,-5.406900047750404
55,-5.931871988088382
56,-6.489947156106702
57,-6.585921237585121
58,-6.402899060644082
59,-5.987445487287765
60,-5.647917423784533
61,-5.133565897666384
62,-4.874608093616165
63,-4.764620662408068
64,-4.7127220139761405
65,-5.039375997142916
66,-5.697201012158035
67,-6.104646710210796
68,-6.549861801279676
69,-6.799511975460513
70,-6.579885843233598
71,-6.111196343353401
72,-5.783582603910997
73,-5.138535634418604
74,-5.205949106624537
75,-4.742809749562478
76,-4.965269889391742
77,-5.384900735046586
78,-5.8608239223464444
79,-6.583756891460087
80,-6.787992592568191
81,-6.879288742848825
82,-6.648235999310291
83,-6.496827021827364
84,-6.040849360289321
85,-5.525175704358452
86,-5.032434384445355
87,-4.972124889034031
88,-5.2069506165922625
89,-5.483673256688664
90,-6.0402922450651975
91,-6.46813550094671
92,-7.016230713172171
93,-7.127766214659777
94,-7.015236219097655
95,-6.77135149481321
96,-6.110387972293545
97,-5.628894472782017
98,-5.303463250551316
99,-5.2084587133375155
100,-5.475511670420604
101,-5.757064532276534
102,-6.264271451652672
103,-6.82522772692216
104,-7.14215397495104
105,-7.234594914318547
106,-6.967406813663386
107,-6.78754221871682
108,-6.294244960927726
109,-5.842444591576622
110,-5.675851717745464
111,-5.367651387544922
112,-5.5079515752214565
113,-5.648675788751469
114,-6.429236096478106
115,-6.894845265766642
116,-7.3094965807549634
117,-7.571867803761953
118,-7.221743122332938
119,-6.909806696731327
120,-6.420896805295705
121,-6.105938745479475
122,-5.5236951651219535
123,-5.685185106279228
124,-5.635288886835532
125,-5.855954437419
126,-6.68905363251307
127,-7.161629772960281
128,-7.47606026727567
129,-7.68534756541162
130,-7.671091746891053
131,-7.158143702519396
132,-6.786230371372605
133,-6.147640756936489
134,-5.935917019638944
135,-5.570006559498245
136,-5.952299925449187
137,-6.2872061516205715
138,-6.6886482782630265
139,-7.408086431643393
140,-7.643279410324026
141,-7.684285724571756
142,-7.856773727240559
143,-7.326536614146775
144,-6.834011720575161
145,-6.296817712822269
146,-6.147669667303376
147,-6.037045661308428
148,-6.001780439653869
149,-6.40530153267668
150,-6.924950714965413
