Age (Years Ago),d18O (per mil)
0.0,-4.397427291949821
0.1,-3.791936635178263
0.2,-3.745432563611417
0.30000000000000004,-4.262445052561456
0.4,-4.835256115632222
0.5,-5.6199163877522516
0.6000000000000001,-5.777509674868077
0.7000000000000001,-5.631871731518064
0.8,-5.095896068329284
0.9,-4.649924301082898
1.0,-4.231260845266822
1.1,-4.007173196093256
1.2000000000000002,-4.21470472611222
1.3,-4.540825060649817
1.4000000000000001,-5.179057627154862
1.5,-5.648072864002723
1.6,-5.801989192511137
1.7000000000000002,-5.988340354533295
1.8,-5.782723363557057
1.9000000000000001,-5.272596359195115
2.0,-4.6079501835428935
2.1,-4.307563278285877
2.2,-4.159760333345962
2.3000000000000003,-4.597504449758763
2.4000000000000004,-5.276169113398785
2.5,-5.865742183951312
2.6,-6.281123081355015
2.7,-6.036341604245362
2.8000000000000003,-5.8971533732367245
2.9000000000000004,-5.560729714626205
3.0,-5.151183161377933
3.1,-4.929982205949661
3.2,-4.599747620420358
3.3000000000000003,-4.361598543570629
3.4000000000000004,-4.340861720857665
3.5,-4.924001956156016
3.6,-5.697546413407598
3.7,-6.381363740986254
3.8000000000000003,-6.382071398137815
3.9000000000000004,-5.978285112624929
4.0,-5.4518221080567475
4.1000000000000005,-5.0911534541509
4.2,-4.540416749949689
4.3,-4.595010468671477
4.4,-4.920921493682583
4.5,-5.6084892728401865
4.6000000000000005,-6.389047165728991
4.7,-6.540653752488372
4.800000000000001,-6.135900897500421
4.9,-5.628372065792044
5.0,-5.021350849244621
5.1000000000000005,-4.78346517562172
5.2,-4.775439578744163
5.300000000000001,-5.294612102968789
5.4,-5.935149299820851
5.5,-6.4519144812445255
5.6000000000000005,-6.7935203712801755
5.7,-6.577743262662715
5.800000000000001,-6.101461535095682
5.9,-5.748197170155978
6.0,-5.143928712195079
6.1000000000000005,-5.157253311367723
6.2,-4.783386479067337
6.300000000000001,-5.224433899668178
6.4,-5.898994783115646
6.5,-6.683423913600843
6.6000000000000005,-6.872277198507273
6.7,-6.655101566546865
6.800000000000001,-6.497519177152999
6.9,-6.030241216510167
7.0,-5.502650386876709
7.1000000000000005,-5.028161025913352
7.2,-4.994668158879621
7.300000000000001,-5.240473587849657
7.4,-5.565098662988316
7.5,-6.113636803216312
7.6000000000000005,-6.575875359807032
7.7,-7.04095972721628
7.800000000000001,-7.07915325657694
7.9,-6.621973738723766
8.0,-5.6223858483374025
8.1,-5.226129557259284
8.200000000000001,-5.495783476474234
8.3,-5.892995986669343
8.4,-6.524555163377723
8.5,-7.034399050621224
8.6,-7.221283419049626
8.700000000000001,-6.993667586984918
8.8,-6.800698029090053
8.9,-6.3179232293016
9.0,-5.852771457161791
9.1,-5.675147259847865
9.200000000000001,-5.3721409935505715
9.3,-5.540036695906299
9.4,-5.979633359227558
9.5,-6.717913781436998
9.600000000000001,-7.233200738797121
9.700000000000001,-7.567666307584799
9.8,-7.1568603458078
9.9,-6.712287100591334
10.0,-6.231921969405968
10.100000000000001,-5.642472855514882
10.200000000000001,-5.546580596783099
10.3,-5.574172306729399
10.4,-5.601764016675698
10.5,-5.6293557266219985
10.600000000000001,-5.6569474365682995
10.700000000000001,-5.684539146514599
10.8,-5.723908171949855
10.9,-6.553091843873718
11.0,-7.247154867414056
11.100000000000001,-7.62406824451741
11.200000000000001,-7.673714817498837
11.3,-7.239629163282439
11.4,-6.835960496794523
11.5,-6.216973343646695
11.600000000000001,-5.95358082857919
11.700000000000001,-5.59133391203215
11.8,-6.146277611647667
11.9,-6.871097793960311
12.0,-7.626345515859022
12.100000000000001,-7.788192497379449
12.200000000000001,-7.494091541884403
12.3,-7.040379650981662
12.4,-6.577232984869275
12.5,-6.240887195752684
12.600000000000001,-6.117579937672748
12.700000000000001,-6.031085838848807
12.8,-6.028412831793375
12.9,-6.390371252234835
13.0,-6.852199829444986
