Depth (mm),Age (Years Ago),d18O (per mil),SST (°C)
3,0.1672240802675585,-3.5926970143591976,28.57268614259312
9,0.5852842809364549,-5.780743995641403,26.287118664111624
15,1.0869565217391304,-3.981228752924097,28.67460345994904
21,1.6722408026755853,-6.037577630048654,26.28535724895853
27,2.1739130434782608,-4.067430198165433,28.975190657929804
33,2.591973244147157,-6.30077109289559,26.35936236519188
39,3.3444816053511706,-4.265313876413088,28.317120307193363
45,3.762541806020067,-6.44698442083947,26.436543117863582
51,4.264214046822742,-4.503508228041632,28.767696629579827
57,4.682274247491639,-6.585921237585121,26.738416721728512
64,5.183946488294314,-4.7127220139761405,28.78872841218104
69,5.60200668896321,-6.799511975460513,26.58920165226817
75,6.187290969899665,-4.742809749562478,28.9380564165484
81,6.605351170568562,-6.879288742848825,26.533760927770658
87,7.190635451505017,-4.972124889034031,28.68536773255792
93,7.775919732441472,-7.127766214659777,26.41385222928277
99,8.110367892976589,-5.208458713337516,29.041648297942345
105,8.612040133779264,-7.234594914318547,26.333180328837383
111,9.19732441471572,-5.367651387544922,28.64769423264634
117,9.698996655518394,-7.571867803761953,26.245539526411143
122,10.117056856187292,-5.5236951651219535,28.897081552842295
123,10.702341137123746,-5.685185106279228,26.577048061409695
129,11.120401337792645,-7.68534756541162,29.206102640261584
135,11.705685618729095,-5.570006559498245,26.562802060739475
142,12.123745819397993,-7.856773727240559,28.854132791163572
148,12.792642140468228,-6.001780439653869,26.857971676554747
