Age (Years Ago),d18O (per mil)
0.0,-5.56325652708471
0.1,-6.083500687453996
0.2,-6.120406643433691
0.30000000000000004,-5.905409345737053
0.4,-5.32705915175115
0.5,-4.951989213836724
0.6000000000000001,-4.54110956703794
0.7000000000000001,-4.435143733710422
0.8,-4.706234973109919
0.9,-5.3194669572561395
1.0,-6.01837823032062
1.1,-6.182306803456197
1.2000000000000002,-6.394181468551964
1.3,-6.22727271540392
1.4000000000000001,-5.878668419430831
1.5,-5.304146455258741
1.6,-4.889919727193515
1.7000000000000002,-4.641503962793705
1.8,-4.629887757441284
1.9000000000000001,-4.943932035961179
2.0,-5.419304384665014
2.1,-5.822460159735701
2.2,-6.2892952047447235
2.3000000000000003,-6.67463114409164
2.4000000000000004,-6.480199722383609
2.5,-6.082240636065542
2.6,-5.482175560284368
2.7,-4.956495955251575
2.8000000000000003,-4.8305031246729095
2.9000000000000004,-5.381108028077621
3.0,-6.164998333287117
3.1,-6.895549088726771
3.2,-6.9182646870951965
3.3000000000000003,-6.541622103586825
3.4000000000000004,-6.01431513561784
3.5,-5.661017363257648
3.6,-5.093729648511411
3.7,-5.128383221811657
3.8000000000000003,-5.3910799952454855
3.9000000000000004,-5.8719641927291315
4.0,-6.496272549281622
4.1000000000000005,-7.088072003732079
4.2,-7.097317159337136
4.3,-6.696551580680824
4.4,-6.232359049895834
4.5,-5.652451115020265
4.6000000000000005,-5.416614415441029
4.7,-5.334777027480158
4.800000000000001,-5.839843855663284
4.9,-6.563644882332644
5.0,-7.136654563244259
5.1000000000000005,-7.412410038254572
5.2,-7.147481594969175
5.300000000000001,-6.699784000705328
5.4,-6.293811613049777
5.5,-5.822518308918301
5.6000000000000005,-5.742957796117379
5.7,-5.490239556945253
5.800000000000001,-5.792434808185836
5.9,-6.25010952365909
6.0,-6.8440769184750785
6.1000000000000005,-7.36893747863768
6.2,-7.5322062821398985
6.300000000000001,-7.444094941356108
6.4,-7.222261988949784
6.5,-6.639680429200273
6.6000000000000005,-5.983957623925885
6.7,-5.715179962820299
6.800000000000001,-5.9928457957788765
6.9,-6.493451081572362
7.0,-7.127909984652773
7.1000000000000005,-7.786549402122073
7.2,-7.853625296275165
7.300000000000001,-7.65062467696337
7.4,-7.0458513271307055
7.5,-6.431762979013702
7.6000000000000005,-6.0788825155226816
7.7,-6.1018058573230505
7.800000000000001,-6.436267825921782
7.9,-6.951597894462084
8.0,-7.617589475911381
8.1,-7.977695804780157
8.200000000000001,-7.972709811424511
8.3,-7.720708512095285
8.4,-7.356007038619019
8.5,-6.842449950482273
8.6,-6.564584286580687
8.700000000000001,-6.262813769745331
8.8,-6.364285539717002
8.9,-6.578091733985045
9.0,-7.3882898315896215
9.1,-7.894255740225485
9.200000000000001,-8.297432286781172
9.3,-8.248475246120908
9.4,-7.8317054889385975
9.5,-7.2524242520817594
9.600000000000001,-6.705314508024725
9.700000000000001,-6.573213735811749
9.8,-6.588359147521036
9.9,-7.162365762022711
10.0,-7.98374813976366
10.100000000000001,-8.431527914068395
10.200000000000001,-8.626148200548839
10.3,-8.108355483547935
10.4,-7.383563676069384
10.5,-6.858367066515414
10.600000000000001,-6.8126650047069415
10.700000000000001,-7.373999582238175
10.8,-8.26529829487044
10.9,-8.660262641228575
11.0,-8.854083335049735
11.100000000000001,-8.394454253290972
11.200000000000001,-7.9311799465862105
11.3,-7.436676583852654
11.4,-7.217073565174862
11.5,-7.106995890434971
11.600000000000001,-7.0535363164651175
11.700000000000001,-7.268115715227545
11.8,-7.710789851683036
11.9,-8.199000045967814
12.0,-8.67174890772195
12.100000000000001,-8.99435110148243
12.200000000000001,-8.996075485655757
12.3,-8.784633253064504
12.4,-8.12678184822982
12.5,-7.613917072969876
12.600000000000001,-7.3721747839043354
12.700000000000001,-7.2210481578968295
12.8,-7.5439217073819655
12.9,-7.996426907395001
13.0,-8.795402925502314
13.100000000000001,-9.077802879522032
13.200000000000001,-9.202673012326207
13.3,-8.803924485855593
13.4,-8.394970750788069
13.5,-7.868867986436843
13.600000000000001,-7.555013281533329
13.700000000000001,-7.570400152973182
13.8,-8.009370382659595
13.9,-8.66529773881858
14.0,-9.271370156267833
14.100000000000001,-9.397941318301951
14.200000000000001,-9.240447953868815
14.3,-8.664997504465914
14.4,-8.2959429182479
14.5,-7.904601109469123
14.600000000000001,-7.640272909242286
14.700000000000001,-7.931749993010763
14.8,-8.414784077527457
14.9,-9.089553364818713
15.0,-9.675948134266854
15.100000000000001,-9.906108807985872
15.200000000000001,-9.604861294676756
15.3,-9.097412045374792
15.4,-8.672753774815078
15.5,-8.219221890495659
15.600000000000001,-7.908638559251171
15.700000000000001,-8.074470885337638
15.8,-8.386673414217128
15.9,-8.93975902968482
16.0,-9.613173000820389
16.1,-9.855274718286491
16.2,-9.910903342904268
16.3,-9.619822678165304
16.400000000000002,-9.284559442751942
16.5,-8.737011219697873
16.6,-8.189150658738145
16.7,-8.137314430685786
16.8,-8.269434451633337
16.900000000000002,-8.901602573050798
17.0,-9.567043174582569
17.1,-10.031720209066338
17.2,-10.189425991230445
17.3,-9.944706138220567
17.400000000000002,-9.491080021168376
17.5,-8.910371918492242
17.6,-8.523392734125522
17.7,-8.350224437872521
17.8,-8.713464024980508
17.900000000000002,-9.29475854079943
18.0,-10.053780802564885
18.1,-10.393004949118838
18.2,-10.388707831529107
18.3,-10.306448353060727
18.400000000000002,-9.929522353843646
18.5,-9.303200593641689
18.6,-8.881389459566655
18.7,-8.651674060052853
18.8,-8.744047413237372
18.900000000000002,-9.206439530111831
19.0,-9.509994987664589
19.1,-10.249643001367676
19.200000000000003,-10.762545138836204
19.3,-10.69472424506737
19.400000000000002,-10.055877281271057
19.5,-9.349649928404798
19.6,-8.849432328988145
19.700000000000003,-9.140020377007737
19.8,-9.725426766029305
19.900000000000002,-10.51590807549326
20.0,-10.823493089244876
20.1,-10.930905018059336
20.200000000000003,-10.177780150578077
20.3,-9.558550862615421
20.400000000000002,-9.358477451196666
20.5,-9.141178178106511
20.6,-9.507290349038582
20.700000000000003,-10.099350403467604
20.8,-10.751795580089215
20.900000000000002,-11.197506405603823
21.0,-11.406762001541043
21.1,-10.904384048394844
21.200000000000003,-10.338087689980018
21.3,-9.941504738273633
21.400000000000002,-9.309120766541248
21.5,-9.48031481297797
21.6,-9.538282688175155
21.700000000000003,-9.87310421146383
21.8,-10.280787527336003
21.900000000000002,-11.069363610149477
22.0,-11.20607221746202
22.1,-11.457841289865225
22.200000000000003,-11.392755729406982
22.3,-10.893448134830242
22.400000000000002,-10.435625230071826
22.5,-10.021841520216002
22.6,-9.67210856933624
22.700000000000003,-9.644093258535511
22.8,-9.813267198799425
22.900000000000002,-10.182864483730015
23.0,-10.746184784779564
23.1,-11.301309246269167
23.200000000000003,-11.550002648270965
23.3,-11.74013457664442
23.400000000000002,-11.250054123317085
23.5,-10.675581443282981
23.6,-10.166704868021851
23.700000000000003,-9.889677020761635
23.8,-10.049904105600477
23.900000000000002,-10.490633570494822
24.0,-11.273838756985926
24.1,-11.695117086694854
24.200000000000003,-11.863365939085046
24.3,-11.5879337484901
24.400000000000002,-11.190491813030567
24.5,-10.638111075161092
24.6,-10.091523501510258
24.700000000000003,-10.058991616222606
24.8,-10.393233148495176
24.900000000000002,-10.861146462701113
25.0,-11.610791685325767
25.1,-11.988368983835848
25.200000000000003,-12.16941461217206
25.3,-11.861616206500836
