Depth (mm),d18o (per mil)
0,-4.950328584698877
1,-4.533826430117118
2,-4.109205742405493
3,-3.907697014359197
4,-4.237389933687894
5,-4.623413695694918
6,-4.962078718449261
7,-5.563256527084709
8,-6.072972842377934
9,-6.125743995641403
10,-6.112367173065685
11,-5.766572975357026
12,-5.215803772843397
13,-4.95132802446578
14,-4.586466379466865
15,-4.356228752924097
16,-4.555257708249004
17,-4.808575266740473
18,-5.450802407552121
19,-6.021230370133528
20,-6.119460526892284
21,-6.442577630048653
22,-6.2992725833156475
23,-6.1024748186213476
24,-5.53443827245252
25,-4.988907741029013
26,-4.7690739539577915
27,-4.502430198165433
28,-4.754038465207442
29,-5.109169374979328
30,-5.660170661222937
31,-5.934772181549105
32,-6.50737512625823
33,-6.76577109289559
34,-6.46377091257412
35,-6.322084364997102
36,-5.699113640499525
37,-5.435967012387978
38,-5.026793201105406
39,-4.760313876413088
40,-4.860127938216021
41,-5.3028631718809995
42,-5.851564828238823
43,-6.390110369558928
44,-6.89387760282118
45,-6.971984420839471
46,-6.832089280880419
47,-6.334287777378109
48,-5.925638171043155
49,-5.656304015536276
50,-5.101566199276081
51,-5.058508228041632
52,-5.241666796246157
53,-5.498832371115913
54,-5.976900047750404
55,-6.506871988088381
56,-7.069947156106702
57,-7.170921237585122
58,-6.992899060644082
59,-6.582445487287765
60,-6.247917423784534
61,-5.738565897666383
62,-5.484608093616165
63,-5.379620662408067
64,-5.332722013976141
65,-5.664375997142916
66,-6.327201012158035
67,-6.7396467102107955
68,-7.189861801279676
69,-7.444511975460513
70,-7.229885843233598
71,-6.766196343353401
72,-6.443582603910996
73,-5.803535634418604
74,-5.875949106624537
75,-5.417809749562478
76,-5.6452698893917415
77,-6.069900735046586
78,-6.550823922346445
79,-7.2787568914600875
80,-7.48799259256819
81,-7.584288742848825
82,-7.358235999310292
83,-7.2118270218273635
84,-6.7608493602893205
85,-6.250175704358453
86,-5.7624343844453545
87,-5.707124889034032
88,-5.946950616592263
89,-6.228673256688664
90,-6.7902922450651975
91,-7.22313550094671
92,-7.776230713172171
93,-7.892766214659777
94,-7.785236219097655
95,-7.54635149481321
96,-6.890387972293544
97,-6.413894472782016
98,-6.093463250551317
99,-6.0034587133375155
100,-6.275511670420604
101,-6.562064532276533
102,-7.074271451652671
103,-7.64022772692216
104,-7.962153974951041
105,-8.059594914318545
106,-7.797406813663386
107,-7.622542218716821
108,-7.134244960927726
109,-6.687444591576622
110,-6.525851717745464
111,-6.222651387544922
112,-6.367951575221457
113,-6.51367578875147
114,-7.299236096478106
115,-7.769845265766643
116,-8.189496580754964
117,-8.456867803761954
118,-8.111743122332937
119,-7.804806696731327
120,-7.320896805295705
121,-7.010938745479474
122,-6.433695165121953
123,-6.600185106279228
124,-6.555288886835532
125,-6.780954437419
126,-7.6190536325130696
127,-8.09662977296028
128,-8.416060267275672
129,-8.63034756541162
130,-8.621091746891052
131,-8.113143702519396
132,-7.746230371372606
133,-7.1126407569364885
134,-6.905917019638943
135,-6.545006559498246
136,-6.932299925449187
137,-7.272206151620572
138,-7.678648278263027
139,-8.403086431643393
140,-8.643279410324025
141,-8.689285724571757
142,-8.866773727240558
143,-8.341536614146774
144,-7.85401172057516
145,-7.321817712822269
146,-7.177669667303375
147,-7.072045661308427
148,-7.041780439653869
149,-7.45030153267668
150,-7.974950714965412
151,-8.485355179050293
152,-8.974027875942282
153,-9.036774630283901
154,-8.916718156454571
155,-8.671435141802636
156,-7.933422548885536
157,-7.592616707908828
158,-7.413104945935828
159,-7.1143446391366165
160,-7.431442763238294
161,-7.641291539625747
162,-8.124140442099252
163,-8.842068231835167
164,-9.04968779086
165,-9.25872190730635
166,-9.103819387784988
167,-8.650320701734598
168,-8.38453881160029
169,-7.955373616435748
170,-7.622926039178113
171,-7.501581028496544
172,-7.581684767156968
173,-7.9258848025183335
174,-8.452330920066984
175,-8.917281675096387
176,-9.384725214596642
177,-9.394646592284268
178,-9.452491087108235
179,-8.807983083341039
180,-8.537433265223495
181,-8.205715755641636
182,-7.881063846021676
183,-7.6117527584756814
184,-7.836320874748139
185,-8.12859995059078
186,-8.672676237542639
187,-9.247282891265696
188,-9.710704775591278
189,-9.931484722468587
190,-9.710676898991139
191,-9.234360120567658
192,-8.818590625586983
193,-8.484573877871199
194,-7.996656503630448
195,-7.861468262027117
196,-8.142360339835673
197,-8.424627489405431
198,-8.9541791281554
199,-9.594297029783064
200,-9.830246667749613
201,-9.963921547363176
202,-9.797720279466912
203,-9.45461979479651
204,-9.21776693679572
205,-8.69378250399152
206,-8.202471069494699
207,-8.08862140490878
208,-8.242469827584959
209,-8.29472685093453
210,-9.14291094893069
211,-9.606443435981936
212,-10.010625227435117
213,-10.19486087486942
214,-10.17755232824848
215,-9.724103077950682
216,-9.39728252145376
217,-8.863681860674015
218,-8.542510950998478
219,-8.371812586061367
220,-8.302508739548214
221,-9.10672651925917
222,-9.371373980962549
223,-10.121271587118969
224,-10.393218590363377
225,-10.391104940303263
226,-10.379597401874895
227,-10.147774477792943
228,-9.63153037092601
229,-9.01204022510654
230,-8.807011259387272
231,-8.598354141041803
232,-8.76941741222518
233,-9.225160034760584
234,-9.465605591067458
235,-10.136608097768192
236,-10.788539662450198
237,-10.721354568523058
238,-10.692204050261283
239,-10.194756666520385
240,-9.87925207384329
241,-9.331473644146692
242,-8.923475868317515
243,-8.773424480582987
244,-9.134004236921134
245,-9.433450123584091
246,-9.96749453111608
247,-10.505332923257374
248,-10.649479979756325
249,-10.939501828903905
250,-10.992113799217945
251,-10.428213805294511
252,-9.827784380298734
253,-9.456753473944895
254,-9.365911592810958
255,-9.148423407286627
256,-9.127283481296892
257,-9.71076694656188
258,-10.115618057185369
259,-10.602536594657048
260,-11.158718450942246
261,-11.22595253560618
262,-11.430152137791344
263,-10.862438764133437
264,-10.305256815139309
265,-9.924778318196488
266,-9.290733465822404
267,-9.483014137796063
268,-9.537979044885255
269,-9.866925942271374
270,-10.255872671093387
271,-11.063586215117933
272,-11.189709028568947
273,-11.458976693898043
274,-11.44417626888923
275,-10.953789652573676
276,-10.500094030442664
277,-10.100021687715875
278,-9.686994387716563
279,-9.618531359686177
280,-9.722622861690438
281,-10.053786932547885
282,-10.481398318385443
283,-11.28378154988268
284,-11.332722066318818
285,-11.895208779952249
286,-11.601203913288002
287,-11.181168279351537
288,-10.731900813226503
289,-10.342269951982075
290,-9.95478682125129
291,-9.869300093465883
292,-10.032911071909972
293,-10.275039790297892
294,-10.844298451403507
295,-11.469290959526067
296,-11.696065416241108
297,-11.90927004791234
298,-11.744739191900546
299,-11.417037115807654
300,-11.082899501092205
301,-10.576018104019706
302,-10.099245235703245
303,-9.998962973456655
304,-10.216064755611969
305,-10.588267261669126
306,-10.992233510421148
307,-11.69915713888359
308,-11.971315665667435
309,-12.200219265243389
310,-12.087793524107159
311,-11.610122314801288
312,-11.157458365101219
313,-10.67864903639994
314,-10.283426715500138
315,-10.297899615836725
316,-10.38577929908606
317,-10.871026675659353
318,-11.32758336475115
319,-11.893014305436756
320,-12.256325807285167
321,-12.360484297456308
322,-12.387847472107797
323,-11.750761272431456
324,-11.580601738149985
325,-11.121418861278794
326,-10.538163508865559
327,-10.460833730603705
328,-10.631562614510331
329,-11.017165449073559
330,-11.601224677284668
331,-12.209725437148577
332,-12.498444947965071
333,-12.727716171151211
334,-12.448513430442654
335,-12.214705738150235
336,-11.802549719679257
337,-11.272138584165315
338,-10.852681450788
339,-10.836372455280399
340,-11.016196635772209
341,-11.295631278850779
342,-11.81550334288911
343,-12.410694317537112
344,-12.793129234346264
345,-12.876795006264237
346,-12.930833837934173
347,-12.580746377437647
