Age (Years Ago),d18O (per mil)
0.0,-4.623413695694919
0.1,-5.766633336886707
0.2,-6.11506929122598
0.30000000000000004,-5.163702050413006
0.4,-4.449244754047375
0.5,-4.807308678948015
0.6000000000000001,-6.059933051896478
0.7000000000000001,-6.3289367279893805
0.8,-5.429696410419207
0.9,-4.611487494284508
1.0,-5.1056180658816075
1.1,-6.157514727040954
1.2000000000000002,-6.646783021848931
1.3,-6.37967994658716
1.4000000000000001,-5.828068580470524
1.5,-5.437940612098815
1.6,-4.975629170764481
1.7000000000000002,-4.799391081608936
1.8,-5.121784461312021
1.9000000000000001,-5.736611831231857
2.0,-6.384724914145725
2.1,-6.908678844835646
2.2,-6.9175652113954005
2.3000000000000003,-6.539133096069312
2.4000000000000004,-6.012271887586167
2.5,-5.659670692480114
2.6,-5.093514358655239
2.7,-5.12929901465268
2.8000000000000003,-5.392365823119833
2.9000000000000004,-5.874354531112302
3.0,-6.498922408983306
3.1,-7.08857687413947
3.2,-7.034200205694407
3.3000000000000003,-6.162855718922807
3.4000000000000004,-5.425185207552382
3.5,-5.652768107732074
3.6,-6.903525003359862
3.7,-7.280752236571379
3.8000000000000003,-6.339894994853231
3.9000000000000004,-5.618932927312725
4.0,-6.052915501220392
4.1000000000000005,-7.353872508157898
4.2,-7.426121377062173
4.3,-6.799564058002896
4.4,-5.755320732420144
4.5,-6.04360315311764
4.6000000000000005,-7.031619008036677
4.7,-7.866196120320602
4.800000000000001,-7.549585626465058
4.9,-6.349512445669202
5.0,-6.116465326279722
5.1000000000000005,-6.884676090418982
5.2,-7.9120325344887
5.300000000000001,-7.771701718206239
5.4,-6.890291959262023
5.5,-6.239327405705951
5.6000000000000005,-6.783908534609443
5.7,-8.081646192802966
5.800000000000001,-8.068158149897506
5.9,-7.153209494935126
6.0,-6.590195709809788
6.1000000000000005,-7.065070064555897
6.2,-8.332369477765038
6.300000000000001,-8.622111496635883
6.4,-7.831609508255114
6.5,-6.979348886322466
6.6000000000000005,-6.7472747295766275
6.7,-7.43467697389669
6.800000000000001,-8.46967210260286
6.9,-8.716742346897652
7.0,-8.325851030614475
7.1000000000000005,-7.369900284479249
7.2,-7.0945297975410915
7.300000000000001,-7.313287110434165
7.4,-8.251634317496295
7.5,-9.00035423156822
7.6000000000000005,-8.843858436624048
7.7,-7.873944520812472
7.800000000000001,-7.397569409982264
7.9,-7.409080452051647
8.0,-8.030929610491322
8.1,-8.98417027958164
8.200000000000001,-9.156057283598956
8.3,-8.417168649804466
8.4,-7.611799635121772
8.5,-7.687062931829137
8.6,-8.694391436223821
8.700000000000001,-9.392018190379947
8.8,-8.84050594876191
8.9,-8.152472842463968
9.0,-7.6967431532495585
9.1,-8.451195336731145
9.200000000000001,-9.621442591102715
9.3,-9.727789505310646
9.4,-8.851159236027147
9.5,-8.035283295757855
9.600000000000001,-8.119888973610989
9.700000000000001,-8.911373704023111
9.8,-9.810977447315677
9.9,-9.811431884068355
10.0,-9.237504674962457
10.100000000000001,-8.243823115231509
10.200000000000001,-8.229392711657486
10.3,-9.070108480519355
10.4,-9.975596138842507
10.5,-10.179066826077813
10.600000000000001,-9.426151670610992
10.700000000000001,-8.57114869044455
10.8,-8.308746085734398
10.9,-9.34733516985782
11.0,-10.368290115065966
11.100000000000001,-10.350503624902613
11.200000000000001,-9.41276185085947
11.3,-8.685826185868201
11.4,-9.137852769500576
11.5,-10.160124200637075
11.600000000000001,-10.713667160421453
11.700000000000001,-10.039731231304263
11.8,-9.038123243325508
11.9,-9.114764731350803
12.0,-10.06123207946069
12.100000000000001,-10.766048047267294
12.200000000000001,-10.434557680226124
12.3,-9.259931412406496
12.4,-10.109882666451524
12.5,-11.32486171791461
12.600000000000001,-9.931278159185922
12.700000000000001,-9.69635326985594
12.8,-11.18718657229992
12.9,-10.736677393399763
13.0,-9.620100304078544
13.100000000000001,-10.863031842866299
13.200000000000001,-11.792741692509619
13.3,-11.349109483250665
13.4,-10.798470531685393
13.5,-10.302173871497773
13.600000000000001,-9.924427882444718
13.700000000000001,-9.968576389777436
13.8,-10.240762785642627
13.9,-10.9131019744716
14.0,-11.551324154302982
14.100000000000001,-11.826843283354922
14.200000000000001,-11.766943703946662
14.3,-11.378044708942605
14.4,-10.896190840396642
14.5,-10.280418925663513
14.600000000000001,-10.011833983811089
14.700000000000001,-10.261958942880582
14.8,-10.739737041201186
14.9,-11.435198003177694
15.0,-11.938183323276355
15.100000000000001,-12.174378641049923
15.200000000000001,-11.40900023991917
15.3,-10.418288732077949
15.4,-10.374638859240296
15.5,-11.377167308780498
15.600000000000001,-12.287797695699958
15.700000000000001,-12.058718940028843
15.8,-11.244903733397386
15.9,-10.465045229296736
16.0,-11.110614925587345
16.1,-12.317839789352783
