Depth (mm),d18o (per mil),age_model
1,-4.96,0.4166666500000001
2,-5.24,0.516666646
3,-5.19,0.616666642
4,-5.25,0.7166666380000001
5,-5.15,0.8166666340000001
6,-5.2,0.91666663
7,-5.27,1.0166666260000001
8,-5.22,1.116666622
9,-5.15,1.216666618
10,-5.19,1.316666614
11,-5.08,1.41666661
12,-5.17,1.516666606
13,-5.28,1.616666602
14,-5.43,1.716666598
15,-5.47,1.816666594
16,-5.37,1.91666659
17,-5.35,1.9880951585714286
18,-5.43,2.059523727142857
19,-5.19,2.1309522957142857
20,-5.19,2.2023808642857143
21,-5.11,2.273809432857143
22,-5.07,2.345238001428571
23,-4.99,2.41666657
24,-4.85,2.4880951385714285
25,-5.0,2.559523707142857
26,-4.96,2.630952275714286
27,-5.08,2.702380844285714
28,-5.11,2.7738094128571427
29,-5.14,2.8452379814285713
30,-5.13,2.91666655
31,-5.11,3.007575637272727
32,-5.14,3.0984847245454548
33,-5.07,3.189393811818182
34,-4.86,3.280302899090909
35,-4.69,3.3712119863636363
36,-4.77,3.462121073636364
37,-4.95,3.553030160909091
38,-5.19,3.6439392481818182
39,-5.33,3.7348483354545454
40,-5.39,3.825757422727273
41,-5.2,3.91666651
42,-5.11,3.9940474592857145
43,-5.05,4.071428408571429
44,-5.39,4.148809357857143
45,-5.07,4.226190307142858
46,-5.1,4.3035712564285715
47,-5.12,4.380952205714286
48,-5.14,4.458333155
49,-5.12,4.535714104285715
50,-5.01,4.613095053571429
51,-5.02,4.690476002857143
52,-5.23,4.767856952142857
53,-5.57,4.845237901428572
54,-5.53,4.9226188507142865
55,-5.45,4.9999998
56,-5.44,5.065475987857143
57,-5.29,5.130952175714286
58,-5.11,5.196428363571429
59,-5.21,5.261904551428572
60,-5.02,5.327380739285714
61,-4.95,5.392856927142858
62,-4.98,5.458333115
63,-5.06,5.523809302857143
64,-5.09,5.5892854907142855
65,-5.09,5.654761678571429
66,-5.29,5.720237866428572
67,-5.35,5.785714054285714
68,-5.41,5.851190242142858
69,-5.39,5.91666643
70,-5.37,5.984374760625
71,-5.31,6.05208309125
72,-5.32,6.119791421875
73,-5.3,6.1874997525
74,-5.29,6.255208083125
75,-5.21,6.32291641375
76,-5.1,6.390624744375
77,-5.09,6.4583330750000005
78,-5.15,6.526041405625
79,-5.18,6.59374973625
80,-5.23,6.661458066875
81,-5.12,6.7291663975
82,-5.22,6.796874728125
83,-5.23,6.86458305875
84,-5.4,6.932291389375
85,-5.5,6.99999972
86,-5.25,7.0624997175
87,-5.29,7.1249997149999995
88,-5.31,7.1874997125
89,-5.27,7.24999971
90,-5.22,7.3124997075
91,-4.92,7.3749997050000005
92,-5.09,7.4374997025
93,-5.04,7.4999997
94,-5.05,7.5624996975
95,-5.06,7.624999695
96,-5.06,7.6874996925
97,-5.11,7.74999969
98,-5.4,7.8124996875
99,-5.38,7.874999685000001
100,-5.31,7.9374996825
101,-5.33,7.99999968
102,-5.3,8.057291344375
103,-5.33,8.11458300875
104,-5.28,8.171874673125
105,-5.46,8.2291663375
106,-5.12,8.286458001875
107,-5.1,8.34374966625
108,-5.02,8.401041330625
109,-5.11,8.458332995
110,-5.18,8.515624659375
111,-5.12,8.57291632375
112,-5.25,8.630207988125001
113,-5.39,8.6874996525
114,-5.25,8.744791316875
115,-5.36,8.80208298125
116,-5.45,8.859374645625
117,-5.39,8.91666631
118,-5.3,8.984374640625001
119,-5.36,9.05208297125
120,-5.38,9.119791301875
121,-5.32,9.1874996325
122,-5.32,9.255207963125
123,-5.05,9.32291629375
124,-5.21,9.390624624375
125,-5.05,9.458332955
126,-4.88,9.526041285625
127,-5.05,9.593749616250001
128,-4.99,9.661457946875
129,-5.06,9.729166277500001
130,-5.19,9.796874608125
131,-5.4,9.86458293875
132,-5.4,9.932291269375
133,-5.4,9.9999996
134,-5.38,10.05392116647059
135,-5.33,10.107842732941178
136,-5.25,10.161764299411765
137,-5.12,10.215685865882353
138,-4.82,10.269607432352942
139,-4.78,10.32352899882353
140,-4.85,10.377450565294119
141,-4.9,10.431372131764707
142,-4.81,10.485293698235294
143,-4.9,10.539215264705883
144,-4.99,10.593136831176471
145,-5.07,10.64705839764706
146,-5.14,10.700979964117648
147,-5.1,10.754901530588237
148,-5.18,10.808823097058823
149,-5.34,10.862744663529412
150,-5.24,10.91666623
151,-5.28,10.984374560625
152,-5.23,11.05208289125
153,-5.12,11.119791221875001
154,-5.08,11.1874995525
155,-4.98,11.255207883125
156,-4.97,11.32291621375
157,-4.99,11.390624544375001
158,-5.01,11.458332875
159,-4.89,11.526041205624999
160,-4.83,11.59374953625
161,-5.1,11.661457866875
162,-4.97,11.7291661975
163,-5.13,11.796874528124999
164,-5.15,11.86458285875
165,-5.36,11.932291189375
166,-5.55,11.99999952
167,-5.39,12.055555073333332
168,-5.06,12.111110626666665
169,-5.13,12.16666618
170,-5.2,12.222221733333333
171,-5.02,12.277777286666666
172,-4.99,12.333332839999999
173,-4.85,12.388888393333334
174,-4.85,12.444443946666667
175,-4.86,12.4999995
176,-5.09,12.555555053333332
177,-5.08,12.611110606666665
178,-5.14,12.66666616
179,-5.09,12.722221713333333
180,-5.33,12.777777266666666
181,-5.34,12.833332819999999
