Depth (mm),d18o (per mil)
0,-4.737318454556936
1,-4.856669993838035
2,-4.895309994029869
3,-4.806800396161728
4,-4.679697232776486
5,-4.7309883302833615
6,-4.455723057425611
7,-4.475417344479079
8,-4.4908256663433415
9,-4.5056285982141375
10,-4.6129254566340645
11,-4.7932915974314785
12,-4.858404728466103
13,-5.092433100234844
14,-5.243480657563822
15,-4.881261948820198
16,-4.961826631664187
17,-4.660377332245578
18,-4.804406041459348
19,-4.620414146742997
20,-4.365592522216324
21,-4.493625296814526
22,-4.643637373017405
23,-4.939737887947451
24,-4.938500553619662
25,-4.916482002369991
26,-5.098149453984753
27,-4.792836007798626
28,-4.771530452621378
29,-4.759137062114405
30,-4.668965529287873
31,-4.238087010678562
32,-4.473289699650021
33,-4.773381321550988
34,-4.604981084501757
35,-4.861749434846945
36,-4.900378327766815
37,-5.063057500831746
38,-5.1590722694739615
39,-5.008391546659427
40,-4.796322564741648
41,-4.737977993934145
42,-4.571791488156107
43,-4.5156925435871145
44,-4.8065252015584
45,-4.620617953615813
46,-4.685559585650366
47,-4.640961664399731
48,-4.802015845912051
49,-5.125782187938034
50,-4.933121050087914
51,-4.96251185248351
52,-4.9008394690976065
53,-4.6764962300148
54,-4.486281682859854
55,-4.423622946864664
56,-4.6051081156174485
57,-4.6196942725048755
58,-4.536230234608839
59,-4.578435650577685
60,-4.927532863912907
61,-4.999101475015514
62,-5.0399414920952585
63,-5.167160505302791
64,-4.846000609809331
65,-4.585547275864141
66,-4.707783550610009
67,-4.551584431305862
68,-4.41575054581371
69,-4.632347964799153
70,-4.576157962308201
71,-4.603728731528087
72,-4.979784783812706
73,-4.864126411255332
74,-5.242998129117067
75,-4.877366442643048
76,-4.915030326631697
77,-4.737363802817566
78,-4.643465273142713
79,-4.907102927769631
80,-4.569365637619375
81,-4.55034434452639
82,-4.536092952008928
83,-4.718729792288404
84,-4.9431755740206595
85,-4.884833308511139
86,-4.8206060727908495
87,-4.891240762892763
88,-5.04588676671569
89,-4.716278462489128
90,-4.698212955606777
91,-4.454048317612195
92,-4.687237218056092
93,-4.633982986237394
94,-4.726129084371286
95,-5.027166967071316
96,-4.945645222604385
97,-5.029962622795505
98,-5.042261052231071
99,-4.936797178410047
100,-5.104431605353607
101,-4.810674688656731
102,-4.585457845224723
103,-4.585735641078783
104,-4.534686116178849
105,-4.73765878294099
106,-4.5955141779384645
107,-4.814082432400365
108,-4.823018399595062
109,-5.05948064717151
110,-5.160674205278851
111,-5.040923507713698
112,-4.897155892774107
113,-4.650921692032819
114,-4.639322634373472
115,-4.63718076333626
116,-4.653683355827246
117,-4.68360691845265
118,-4.6163702839250265
119,-4.700616026713611
120,-4.906585372774849
121,-5.137857552587118
122,-4.875257162505076
123,-5.182692977163622
124,-4.982919420905413
125,-4.597779554968064
126,-4.781437102799279
127,-4.61030473350911
128,-4.548821516985254
129,-4.7308280993293605
130,-4.905968124987098
131,-4.954287178569466
132,-5.020967244939158
133,-5.093032795802675
134,-5.173128662015616
135,-4.974416703991576
136,-4.976763062926173
137,-4.861887286051478
138,-4.613505496226134
139,-4.695010722497952
140,-4.634929402315807
141,-4.411317534083876
142,-4.886082305151404
143,-4.738717728059471
144,-4.961880031781334
145,-4.98208890593834
146,-5.193806290554988
147,-5.241685428576969
148,-4.885394268389859
149,-4.846322076974247
150,-4.763587176542222
151,-4.546634264365339
152,-4.653038654218318
153,-4.594231697134318
154,-4.672490754394487
155,-4.8521274465406625
156,-4.808863938217694
157,-5.048163953216846
158,-5.183037620942147
159,-4.947066494598917
160,-5.082292824107805
161,-4.696775248251057
162,-4.57865896117109
163,-4.650003021149551
164,-4.557116436761302
165,-4.6413121733487746
166,-4.715913872601007
167,-4.618593391920936
168,-5.038497817490699
169,-5.10263789308623
170,-5.144350585985611
171,-5.206974473689499
172,-5.044077658208341
173,-4.792799577288863
174,-4.74562343414512
175,-4.627555023334532
176,-4.629639055262112
177,-4.4178257652510275
178,-4.841801258378752
179,-4.530882559446542
180,-4.855969537661443
181,-5.116484765391824
182,-5.295785613194962
183,-4.929012345895074
184,-4.967276238757218
185,-4.769475342024684
186,-4.7380732710883375
187,-4.723305602686639
188,-4.596360987741682
189,-4.832881555889555
190,-4.871052320754598
191,-4.781637193732301
192,-4.941458745951555
193,-5.282162123452505
194,-5.023024306685361
195,-5.191719919396847
196,-5.266290889354765
197,-4.826569824928376
198,-4.852893615451556
199,-4.781083976877909
200,-4.658049270445973
201,-4.667446003932491
202,-4.726172442161315
203,-4.799598201063344
204,-5.1919648118070825
205,-5.353822498296271
206,-5.236218110130913
207,-5.078407217366258
208,-5.014015449119842
209,-4.602018629130724
210,-4.812728155138766
211,-4.584791096653227
212,-4.53516666109714
213,-4.7121655129561315
214,-4.839738590942223
215,-4.841725168525953
216,-5.091080199100545
217,-5.142320398397811
218,-5.139469661742891
219,-5.145709661151973
220,-4.82299274684026
221,-4.983019563130741
222,-4.726116403112926
223,-4.854297903004209
224,-4.762366464191692
225,-4.672681021324797
226,-4.823913085732663
227,-4.956668389463137
228,-5.148990886012473
229,-5.035646896258954
230,-5.210102610614173
231,-5.174113279519798
232,-5.086937517299487
233,-4.949244953273041
234,-4.63153353125799
235,-4.556851628588612
236,-4.8683125389161805
237,-4.680893625901374
238,-4.9629365014600975
239,-4.874975700335677
240,-5.14098942070615
241,-5.254873219704032
242,-5.10830758986
243,-5.03042009185179
244,-5.132144399447596
245,-4.885223667085239
246,-4.930434461118824
247,-4.710583442783807
248,-4.580395020933066
249,-4.7826941704794494
250,-4.965057205601057
251,-4.8314668563529555
252,-4.8754232662953845
253,-4.988751621430485
254,-5.304623912222458
255,-5.1725271360128495
256,-4.906288781216831
257,-5.0452857284064185
258,-4.689813360100285
259,-4.662387574858275
260,-4.658513583130976
261,-4.632861134330286
262,-5.087304395024453
263,-4.98141491319367
264,-5.070668975193869
265,-5.248683595277723
266,-4.948591324096747
267,-5.23191783324983
268,-5.127894395147564
269,-5.006539487158701
270,-4.670462382005134
271,-4.983109757263913
272,-4.601257204147936
273,-4.728455957440743
274,-4.887498858979604
275,-4.772787442236515
276,-5.058936373267661
277,-5.188238083029411
278,-5.222100559706968
279,-5.196439662490491
280,-5.044841625866262
281,-4.894727567980903
282,-4.716851724848482
283,-4.885829078286234
284,-4.526791444016754
285,-4.996958470220302
286,-4.879086662609694
287,-4.713000952143301
288,-5.132597543056789
289,-5.3472926405472005
290,-5.260266701031906
291,-5.263480699733872
292,-5.21307027430677
293,-4.852772633015648
294,-4.92981777935161
295,-4.818451415509871
296,-4.616069840749889
297,-4.794429879809562
298,-4.7369825476163046
299,-4.84642049069622
300,-5.36180146920249
301,-5.207440069889789
302,-5.202642598442609
303,-5.051791932614473
304,-5.096632597714128
305,-4.977562220992178
306,-4.784993857852596
307,-4.911269017079421
308,-4.546542794960054
309,-4.849337244077802
310,-4.851512567936029
311,-4.86211860713211
312,-5.033987434315879
313,-5.1437272553037765
314,-5.099546420995458
315,-5.21863732467333
316,-5.041402010155171
317,-4.947625174413916
318,-4.858693354414667
319,-4.888391546659799
320,-4.7805455552209875
321,-4.675423980210111
322,-4.951789616065605
323,-4.7056442590535035
324,-5.184787252888864
325,-5.313152240674265
326,-5.156106633801328
327,-5.157540458749852
328,-5.010593584906603
